"ID","mean_Ctrl3w","mean_KO3w","mean_Ctrl8w_NaCl","mean_KO8w_NaCl","mean_KO8w_AAV"
"ENSMUSG00000000001",1396.8,1199.16666666667,845.2,1274.5,1117.83333333333
"ENSMUSG00000000028",150,132.666666666667,87.4,151.166666666667,135.5
"ENSMUSG00000000031",2385.8,1820.16666666667,550.8,824.333333333333,700.166666666667
"ENSMUSG00000000037",37.2,42.5,32.4,32.1666666666667,48
"ENSMUSG00000000049",1.8,2.83333333333333,2.8,4,5
"ENSMUSG00000000056",4618.2,3874.33333333333,4161.8,2951.66666666667,3471.33333333333
"ENSMUSG00000000058",3028,2889,2389.8,1953,2357.16666666667
"ENSMUSG00000000078",3322,2861.83333333333,2194,3053.66666666667,2700.5
"ENSMUSG00000000085",1959.6,1732.16666666667,1548.2,1293.16666666667,1102.83333333333
"ENSMUSG00000000088",23991.4,21974,15735.6,14836.1666666667,10199.6666666667
"ENSMUSG00000000093",509.6,490.666666666667,287.6,313.666666666667,329.5
"ENSMUSG00000000094",4.2,1.83333333333333,3.8,2.5,3.83333333333333
"ENSMUSG00000000120",41.8,43.1666666666667,17,51.6666666666667,29
"ENSMUSG00000000125",0,0.166666666666667,0,0,0
"ENSMUSG00000000126",269,288.666666666667,245.8,377,272.666666666667
"ENSMUSG00000000127",516.2,465.666666666667,395.8,463,378.666666666667
"ENSMUSG00000000131",2370.2,2174,1600.2,2068.16666666667,1629.33333333333
"ENSMUSG00000000134",865,783.333333333333,670.2,957.833333333333,763.5
"ENSMUSG00000000142",129.4,135.833333333333,160.4,90.5,122.5
"ENSMUSG00000000148",442.8,411.5,395.6,531,436
"ENSMUSG00000000149",3537.4,3556.66666666667,4303.4,4665.33333333333,4147
"ENSMUSG00000000154",12.6,9.66666666666667,13.6,19.3333333333333,19.5
"ENSMUSG00000000157",0.6,0.333333333333333,0,0,0
"ENSMUSG00000000159",0.8,0.333333333333333,0,0.333333333333333,1
"ENSMUSG00000000167",8.2,9.16666666666667,8.4,16.6666666666667,10.5
"ENSMUSG00000000168",16324.8,14452.5,12588.8,11232.1666666667,9526.5
"ENSMUSG00000000171",21965.2,19337.3333333333,16008.6,14785.8333333333,11961.8333333333
"ENSMUSG00000000182",0.2,1,0.4,1.66666666666667,0.833333333333333
"ENSMUSG00000000183",8.8,22.3333333333333,23.4,161,80
"ENSMUSG00000000184",3932.4,3980.83333333333,3727.2,6614.16666666667,5803
"ENSMUSG00000000194",1896.6,1747.5,1614.2,1927.66666666667,1801.5
"ENSMUSG00000000197",8.2,8.16666666666667,17,29.6666666666667,37.8333333333333
"ENSMUSG00000000202",0.4,0.5,0.4,0.666666666666667,0.833333333333333
"ENSMUSG00000000204",14,10.3333333333333,8.6,15.8333333333333,13.1666666666667
"ENSMUSG00000000214",0,0.166666666666667,0,0.833333333333333,0.166666666666667
"ENSMUSG00000000215",0.2,0,0,0,0
"ENSMUSG00000000223",19,23,19.2,87.3333333333333,40
"ENSMUSG00000000244",18.8,12,16.2,20.3333333333333,21.3333333333333
"ENSMUSG00000000247",0.2,1,0,1.33333333333333,1.5
"ENSMUSG00000000248",0,0,0,0.333333333333333,0
"ENSMUSG00000000253",4857.6,4191.83333333333,4161.6,2519.5,3198.83333333333
"ENSMUSG00000000266",1007.6,840.833333333333,573.4,909.833333333333,745.833333333333
"ENSMUSG00000000275",1553.2,1618.66666666667,1379.8,1414.16666666667,1646.5
"ENSMUSG00000000276",878.8,924,665.4,502,588.833333333333
"ENSMUSG00000000278",896.4,930.333333333333,581.6,2082.5,1185.66666666667
"ENSMUSG00000000282",803.2,664.666666666667,544.8,681.333333333333,611.833333333333
"ENSMUSG00000000290",236.4,189.666666666667,206.6,486.666666666667,389
"ENSMUSG00000000295",136.4,113.666666666667,65.2,109.666666666667,93.6666666666667
"ENSMUSG00000000296",120.2,129.833333333333,176.6,202.833333333333,182.333333333333
"ENSMUSG00000000301",35,33.3333333333333,25.8,115.833333333333,48
"ENSMUSG00000000303",3.8,1.16666666666667,0.4,3.16666666666667,2.66666666666667
"ENSMUSG00000000305",12.2,33.1666666666667,74.4,195.166666666667,243
"ENSMUSG00000000308",3,1.66666666666667,2.8,91.3333333333333,26.8333333333333
"ENSMUSG00000000317",2232.2,1310,855.8,628.333333333333,1028.66666666667
"ENSMUSG00000000318",75,72.8333333333333,60.8,85.1666666666667,66
"ENSMUSG00000000320",216.4,161.5,139,145.166666666667,164.5
"ENSMUSG00000000325",724.8,758.333333333333,623.2,811.166666666667,751.5
"ENSMUSG00000000326",3608,3873.5,3587,6015.5,4305.66666666667
"ENSMUSG00000000339",705.8,659.5,504,737,532.333333333333
"ENSMUSG00000000340",2148,1979.83333333333,2734.6,1490.16666666667,1578.33333333333
"ENSMUSG00000000346",5876.6,5129.66666666667,5165.4,5591.16666666667,5513.16666666667
"ENSMUSG00000000355",896.4,779.333333333333,680.6,885.5,646.5
"ENSMUSG00000000359",174.2,159.666666666667,120.8,110.666666666667,122.5
"ENSMUSG00000000365",10.6,8.33333333333333,8.8,41.8333333333333,23.6666666666667
"ENSMUSG00000000374",1947,1870,1856.6,2336.16666666667,1866.83333333333
"ENSMUSG00000000378",579.4,563.333333333333,577.2,783.666666666667,641.5
"ENSMUSG00000000381",0,0.166666666666667,0,0,0
"ENSMUSG00000000384",2429.6,2206.33333333333,2070.6,2834.83333333333,1584.5
"ENSMUSG00000000385",0.4,0.166666666666667,0,0.666666666666667,0
"ENSMUSG00000000386",34.2,33.3333333333333,23.6,54.5,90.5
"ENSMUSG00000000392",292.6,264.5,181.2,192.666666666667,229.666666666667
"ENSMUSG00000000399",18872,17338.6666666667,16248.2,14379,12257.6666666667
"ENSMUSG00000000402",2.4,2,2,1,0.833333333333333
"ENSMUSG00000000409",30.8,12.5,8,15.8333333333333,24.1666666666667
"ENSMUSG00000000411",0,0,0,2.16666666666667,0
"ENSMUSG00000000416",69,52.5,33.4,30.5,39.6666666666667
"ENSMUSG00000000420",2896,2680,2505.8,2797.83333333333,2476
"ENSMUSG00000000435",0,0,0.4,0,0
"ENSMUSG00000000439",1267.4,1181,1193.4,1336.33333333333,1067.66666666667
"ENSMUSG00000000440",370,453.5,330,459.5,342.333333333333
"ENSMUSG00000000441",5480,5288.66666666667,4144,3759,3423
"ENSMUSG00000000486",149,126.333333333333,84.4,70.6666666666667,107.5
"ENSMUSG00000000489",2096,1786.5,1336.8,1799.83333333333,1280.33333333333
"ENSMUSG00000000530",1377.2,1338.83333333333,1308,1673.33333333333,1570
"ENSMUSG00000000531",543.6,513.666666666667,308.6,337.5,367.333333333333
"ENSMUSG00000000532",1056.6,911.5,918.8,989.166666666667,896.666666666667
"ENSMUSG00000000538",5993.8,5431.16666666667,6201.2,6313.66666666667,6179.83333333333
"ENSMUSG00000000544",0,0.166666666666667,0.2,2.5,1.16666666666667
"ENSMUSG00000000552",582.8,567.833333333333,395.8,402.666666666667,385.5
"ENSMUSG00000000555",4074.2,3558,2449.2,6017,3271
"ENSMUSG00000000560",0.4,0.166666666666667,0.2,0.166666666666667,0.166666666666667
"ENSMUSG00000000561",1008,955,666.4,1139.5,687.333333333333
"ENSMUSG00000000562",9,9.5,8.2,3.83333333333333,6.83333333333333
"ENSMUSG00000000563",21320.8,19707.1666666667,16731.2,15480,11577.5
"ENSMUSG00000000567",110.8,89.3333333333333,77.2,334.333333333333,218.5
"ENSMUSG00000000568",2727,2379.66666666667,1724.2,1483.16666666667,1271.33333333333
"ENSMUSG00000000579",4.2,5.16666666666667,3.6,3.33333333333333,5.5
"ENSMUSG00000000581",1285.4,1170.66666666667,1056.6,1168,970.833333333333
"ENSMUSG00000000594",613,558.5,527.4,618.833333333333,693.5
"ENSMUSG00000000600",1703,1562,1283,1514,1340.16666666667
"ENSMUSG00000000605",3712.6,3485.83333333333,3228,2451.83333333333,2833.33333333333
"ENSMUSG00000000617",0,0,0,0.166666666666667,0.166666666666667
"ENSMUSG00000000627",24.4,24.1666666666667,14,15.5,18.6666666666667
"ENSMUSG00000000628",9540.2,8771.5,11207.6,9474.66666666667,7601.16666666667
"ENSMUSG00000000631",7186,6413.83333333333,6289,6663.83333333333,5991.66666666667
"ENSMUSG00000000632",15,9.33333333333333,13,8.33333333333333,15.3333333333333
"ENSMUSG00000000673",5.8,2.33333333333333,2.6,4.16666666666667,8.66666666666667
"ENSMUSG00000000682",144,108.833333333333,101.4,248.666666666667,266.833333333333
"ENSMUSG00000000686",31.2,29.6666666666667,37.6,83.8333333333333,79.6666666666667
"ENSMUSG00000000690",0.6,1.33333333333333,0.8,2,2.66666666666667
"ENSMUSG00000000693",315,339.166666666667,253.8,1324.66666666667,1193.33333333333
"ENSMUSG00000000706",1.2,1.16666666666667,1.2,1.16666666666667,0.833333333333333
"ENSMUSG00000000708",2912.8,2672,2301.6,2514.5,2332.5
"ENSMUSG00000000711",1428.4,1296.5,1273.6,1231.83333333333,1212
"ENSMUSG00000000730",4.8,2.33333333333333,4.8,7.33333333333333,4.16666666666667
"ENSMUSG00000000731",0,0,0,0.666666666666667,0.666666666666667
"ENSMUSG00000000732",337.6,314,375,387.166666666667,438.666666666667
"ENSMUSG00000000738",3344.6,3212,3120.4,2985.5,3038.83333333333
"ENSMUSG00000000739",16,20.1666666666667,20,58.1666666666667,51.1666666666667
"ENSMUSG00000000740",348.8,303,249.6,331.166666666667,229.833333333333
"ENSMUSG00000000743",1608.4,1522.66666666667,1633.4,2273.83333333333,1885.66666666667
"ENSMUSG00000000751",2827.2,2433.33333333333,1941.6,1657.33333333333,1834.83333333333
